Main_ID,RAdeg,DEdeg,PosErr,Pos_ref,Spectype,Spectype_ref,Class,Compact,Mx,Mx_err,Mx_ref,Mo,Mo_err,Mo_ref,Period,Period_err,Period_ref,Superorbital Period,Superorbital Period_err,Superorbital Period_ref,Eccentricity,Eccentricity_err,Eccentricity_ref,Spin_period,Spin_period_err,Spin_period_ref,RV,RV_err,RV_ref,Distance,Distance_err_lo,Distance_err_up,IGR_var,Swift_var,XMM_var,Chandra_var,Var,best_ID,AGILE_ID,AGILE_RA,AGILE_Dec,AGILE_err,AGILE_ref,HEAO_ID,HEAO_RA,HEAO_Dec,HEAO_err,HEAO_ref,UHURU4_ID,UHURU4_RA,UHURU4_Dec,UHURU4_err,UHURU4_ref,ARIEL3_ID,ARIEL3_RA,ARIEL3_Dec,ARIEL3_err,ARIEL3_ref,IGR_ID,IGR_RA,IGR_Dec,IGR_err,IGR_ref,2E_ID,2E_RA,2E_Dec,2E_err,2E_ref,ROSAT_ID,ROSAT_RA,ROSAT_Dec,ROSAT_err,ROSAT_ref,ROSATF_ID,ROSATF_RA,ROSATF_Dec,ROSATF_err,ROSATF_ref,FERMI_ID,FERMI_RA,FERMI_Dec,FERMI_err,FERMI_ref,SAX_ID,SAX_RA,SAX_Dec,SAX_err,SAX_ref,Swift_ID,Swift_RA,Swift_Dec,Swift_err,Swift_ref,XMM_ID,XMM_RA,XMM_Dec,XMM_err,XMM_ref,Chandra_ID,Chandra_RA,Chandra_Dec,Chandra_err,Chandra_ref,2MASS_ID,2MASS_RA,2MASS_Dec,2MASS_err,2MASS_ref,Gaia_ID,Gaia_RA,Gaia_Dec,Gaia_err,Gaia_ref
IGR J00370+6122,9.290132580203235,61.36013319063004,2.337165125128296E-9,,BN0.7 Ib,2014A&A...566A.131G,sg,NS,,,,22.0,,2014A&A...563A...1G,15.6649,0.0014,2021PASJ...73.1389U,,,,0.48,0.03,2014A&A...563A...1G,674.0,,2021PASJ...73.1389U,-80.0,3.0,2014A&A...563A...1G,3401.0,-171.0,186.0,Y,11.253456115722656,1.0,,Y,Gaia DR3 427234969757165952,,,,,,,,,,,,,,,,,,,,,IGR J00370+6122,9.29,61.36,0.03283333381017049,,,,,,,,,,,,,,,,,,,,,,IGR J00370+6122,9.256,61.338,0.045000000794728594,,2SXPS J003709.6+612135,9.29002,61.35994,7.500000132454766E-4,,4XMM J003709.8+612136,9.291179,61.360154,3.758091666666667E-4,,,,,,,2MASS J00370963+6121363,9.290125,61.360111,1.9444444527228672E-5,,427234969757165952,9.290132580203235,61.36013319063004,2.337165125128296E-9,
gam Cas,14.177450998208093,60.71672280471204,5.093332462840611E-7,,B0.5IVpe,2011ARep...55...31S,Be,,,,,13.0,0.0,2000A&A...364L..85H,203.371,0.089,2012A&A...537A..59N,,,,0.26,0.035,2000A&A...364L..85H,,,,-0.018,0.075,2012A&A...537A..59N,,,,,,1.0,,Y,Gaia DR3 426558460884582016,,,,,,1H0053+604,14.0072,60.7605,0.12732395637079105,,,,,,,3A 0053+604,14.1784,60.7203,0.0,,gam Cas,14.161,60.703,0.01049999992052714,,,,,,,1WGA J0056.7+6042,14.1792,60.7168,0.003611111111111111,,,,,,,,,,,,gamma Cas.,14.165,60.702,0.026666667064030966,,,,,,,4XMM J005642.4+604300,14.176882,60.716688,2.360313888888889E-4,,,,,,,2MASS J00564251+6043002,14.177127,60.716743,8.055555323759715E-5,,426558460884582016,14.177450998208093,60.71672280471204,5.093332462840611E-7,
EM* AS   14,18.996040698840275,59.15394486765568,3.050714472515716E-9,,B2,1960IzKry..24..160B,,,,,,,,,,,,,,,,,,,,,,,,2592.0,-140.0,156.0,,,0.0,,,Gaia DR3 414196617287885312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4XMM J011558.9+590913,18.995724,59.153879,4.2597611111111115E-4,,,,,,,2MASS J01155905+5909141,18.996062,59.153919,1.6666666294137637E-5,,414196617287885312,18.996040698840275,59.15394486765568,3.050714472515716E-9,
2S 0114+650,19.511227046863358,65.29162260285469,2.0725556856228246E-9,,B1Iae,2015A&A...579A.111K,sg,,,,,16.0,2.0,2017ApJ...844...16H,11.5983,6.0E-4,1985ApJ...299..839C,30.76,0.03,2013ApJ...778...45C,0.18,0.05,2006A&A...458..513K,10008.0,36.0,1992A&A...262L..25F,-31.0,5.0,2003RMxAA..39...17K,4475.0,-183.0,217.0,,1.1632421016693115,1.0,,Y,Gaia DR3 524924310153249920,,,,,,,,,,,,,,,,3A 0114+650,19.5073,65.293,0.0,,1A 0114+650,19.511,65.292,0.006833333273728689,,,,,,,1WGA J0118.0+6517,19.5071,65.2948,0.003611111111111111,,,,,,,,,,,,3A 0114+650,19.51,65.288,0.02833333412806193,,2SXPS J011802.8+651726,19.51207,65.2908,9.722222222222222E-4,,4XMM J011802.6+651731,19.511153,65.291956,2.6943222222222224E-4,,,,,,,2MASS J01180266+6517298,19.511102,65.291618,1.6666666294137637E-5,,524924310153249920,19.511227046863358,65.29162260285469,2.0725556856228246E-9,
4U 0115+634,19.63319348306226,63.74252240557648,3.026561397645209E-9,,B0.2Ve,2001A&A...369..108N,Be,,,,,17.5,,1996MNRAS.280L..31P,24.3174,4.0E-4,2010MNRAS.406.2663R,,,,0.339,0.005,2010MNRAS.406.2663R,3.6,,1978IAUC.3163....1C,,,,5787.0,-453.0,817.0,Y,140.8064422607422,0.0,,Y,Gaia DR3 524677469790488960,,,,,,1H0115+635,19.8177,63.8225,0.10652686514900077,,,,,,,,,,,,4U 0115+634,19.633,63.74,0.0033333333830038708,,,,,,,,,,,,,,,,,,,,,,4U 0115+634,19.667,63.736,0.03333333333333333,,2SXPS J011831.6+634431,19.63174,63.74222,6.388888756434123E-4,,4XMM J011831.9+634433,19.633109,63.742706,1.2241833333333333E-4,,,,,,,2MASS J01183196+6344330,19.633192,63.742519,1.6666666294137637E-5,,524677469790488960,19.63319348306226,63.74252240557648,3.026561397645209E-9,
IGR J01363+6610,23.95771733364349,66.21202346679833,2.0675403842081628E-9,,B1Ve,2005A&A...440..637R,Be,,,,,12.5,,1996MNRAS.280L..31P,159.0,2.0,2010ATel.3079....1C,,,,,,,,,,,,,5816.0,-407.0,413.0,YY,,0.0,,Y,Gaia DR3 519352324516039680,,,,,,,,,,,,,,,,,,,,,IGR J01363+6610,23.956,66.212,0.0603333314259847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4XMM J013549.8+661243,23.957712,66.212053,1.4654388888888888E-4,,,,,,,2MASS J01354986+6612433,23.957772,66.212029,3.05555553899871E-5,,519352324516039680,23.95771733364349,66.21202346679833,2.0675403842081628E-9,
RX J0146.9+6121,26.750875487648646,61.356572911514526,3.1945937209659156E-9,,B1IIIe,1997A&A...323..853M,Be,,,,,9.6,,1996MNRAS.280L..31P,330.0,,2018MNRAS.481.2779S,,,,,,,1407.4,3.0,1998A&A...330..189H,,,,2751.0,-138.0,162.0,Y,1.3019517660140991,1.0,,Y,Gaia DR3 511220031584305536,,,,,,,,,,,,,,,,,,,,,RX J0146.9+6121,26.751,61.357,0.03183333277702331,,,,,,,1WGA J0146.9+6121,26.7479,61.3579,0.013888888888888888,,,,,,,,,,,,RX J0146.9+6121,26.789,61.342,0.029999999205271403,,2SXPS J014659.9+612123,26.74966,61.35653,9.444444709353977E-4,,4XMM J014700.2+612123,26.750835,61.356558,8.266694444444444E-5,,,,,,,2MASS J01470019+6121236,26.75083,61.356567,1.6666666294137637E-5,,511220031584305536,26.750875487648646,61.356572911514526,3.1945937209659156E-9,
IGR J01583+6713,29.577032913394262,67.22318460660581,2.456226696570715E-9,,B2IVe+,2008MNRAS.386.2253K,Be,,,,,12.5,,1996MNRAS.280L..31P,,,,,,,,,,469.2,,2008MNRAS.386.2253K,,,,6048.0,-472.0,464.0,Y,0.9996263384819031,,,Y,Gaia DR3 518990967445248256,,,,,,,,,,,,,,,,,,,,,IGR J01583+6713,29.576,67.224,0.03316666682561239,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J015818.3+671324,29.57629,67.22337,9.722222222222222E-4,,,,,,,,,,,,2MASS J01581848+6713234,29.57701,67.223183,2.2222221725516848E-5,,518990967445248256,29.577032913394262,67.22318460660581,2.456226696570715E-9,
LS I+61 303,40.131931264833995,61.22933050838676,2.0367238256666397E-9,,B0Ve,1981PASP...93..741H,"$\gamma$\,Be",,,,,12.5,,2005MNRAS.360.1105C,26.496,0.0028,2002ApJ...575..427G,1628.0,48.0,2016A&A...585A.123M,0.537,0.034,2009ApJ...698..514A,,,,-41.41,0.6,2009ApJ...698..514A,2504.0,-67.0,72.0,,1.9183762073516846,1.0,1.0,Y,Gaia DR3 465645515129855872,,,,,,,,,,,,,,,,,,,,,LS I+61 303,40.132,61.229,0.03466666539510091,,,,,,,1WGA J0240.5+6113,40.1304,61.2276,0.003611111111111111,,,,,,,4FGL J0240.5+6113,40.1426,61.2287,0.005427,,1E 0236.6+6100,40.178,61.237,0.07166666984558105,,2SXPS J024031.5+611345,40.13163,61.22926,4.1666666666666664E-4,,4XMM J024031.6+611345,40.131943,61.229307,2.3006111111111112E-5,,2CXO J024031.6+611345,40.13207107390224,61.22922704085952,1.980353685843237E-4,,2MASS J02403165+6113456,40.131903,61.229343,1.6666666294137637E-5,,465645515129855872,40.131931264833995,61.22933050838676,2.0367238256666397E-9,
Swift J0243.6+6124,40.91843191991435,61.434377668355616,1.8768698080546326E-9,,O9.5V,2020A&A...640A..35R,Be,NS,,,,,,,28.3,0.2,2018A&A...613A..19D,,,,0.092,0.007,2018A&A...613A..19D,9.8661,3.0E-4,2017ATel10812....1J,,,,5189.0,-314.0,291.0,,23.120481491088867,1.0,,Y,Gaia DR3 465628193526364416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1WGA J0243.6+6127,40.9167,61.4507,0.013888888888888888,,,,,,,,,,,,,,,,,2SXPS J024340.5+612604,40.91899,61.4346,4.1666666666666664E-4,,4XMM J024340.4+612602,40.918518,61.433929,5.279077777777778E-4,,,,,,,2MASS J02434041+6126037,40.918407,61.43438,1.6666666294137637E-5,,465628193526364416,40.91843191991435,61.434377668355616,1.8768698080546326E-9,
V 0332+53,53.749629724978455,53.17313997828423,3.8693012255761365E-9,,O8.5Ve,1999MNRAS.307..695N,Be,,,,,18.8,,2005A&A...436.1049M,36.5,0.29,2010MNRAS.406.2663R,,,,0.417,0.007,2010MNRAS.406.2663R,4.4,,1985ApJ...288L..45S,,,,5584.0,-506.0,730.0,Y,25.0,0.0,0.0,Y,Gaia DR3 444752973131169664,,,,,,,,,,,,,,,,,,,,,EXO 0331+530,53.75,53.173,0.0030000001192092896,,,,,,,1WGA J0335.0+5310,53.7537,53.1747,0.003611111111111111,,,,,,,,,,,,,,,,,2SXPS J033500.0+531020,53.75011,53.1725,9.722222222222222E-4,,4XMM J033459.8+531022,53.749315,53.172985,5.441991666666667E-4,,2CXO J033459.9+531023,53.7495926223873,53.173194404103256,2.1187558857577122E-4,,2MASS J03345990+5310233,53.749603,53.173149,1.6666666294137637E-5,,444752973131169664,53.749629724978455,53.17313997828423,3.8693012255761365E-9,
X Per,58.84615062234396,31.045836091857545,8.209336859484514E-9,,B1Ve,2019A&A...622A.173Z,Be,,,,,15.5,,1997MNRAS.286..549L,250.3,0.6,2001ApJ...546..455D,,,,0.111,0.018,2001ApJ...546..455D,837.6712,3.0E-4,2001ApJ...546..455D,1.0,0.9,2007ApJ...660.1398G,595.0,-13.0,17.0,,,1.0,,Y,Gaia DR3 168450545792009600,,,,,,1H0352+308,58.843,31.0456,0.0,,,,,,,3A 0352+309,58.8231,31.0657,0.026631716287250192,,X Per,58.846,31.046,0.004833333194255829,,,,,,,1WGA J0355.3+3102,58.8458,31.0497,0.003611111111111111,,,,,,,,,,,,X Per,58.859,31.072,0.02833333412806193,,,,,,,4XMM J035522.9+310244,58.845756,31.045833,1.7797805555555554E-4,,2CXO J035523.1+310244X,58.846357071460645,31.045570208639266,3.9365631012323513E-4,,2MASS J03552309+3102449,58.846228,31.045828,1.6666666294137637E-5,,168450545792009600,58.84615062234396,31.045836091857545,8.209336859484514E-9,
XTE J0421+560,64.92556123476727,55.999360679043434,3.5011980475650897E-9,,B0/2I[e],2002A&A...392..991H,sgB[e],,,,,,,,19.41,0.02,2006ASPC..355..305B,,,,,,,,,,-51.0,2.0,2016MNRAS.456.1424A,4094.0,-206.0,276.0,,4.9136128425598145,1.0,,Y,Gaia DR3 276644757710014976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J041942.0+555957,64.92529,55.99927,9.722222222222222E-4,,4XMM J041942.1+555957,64.92559,55.999346,6.334166666666667E-5,,,,,,,2MASS J04194212+5559577,64.925528,55.999374,1.9444444527228672E-5,,276644757710014976,64.92556123476727,55.999360679043434,3.5011980475650897E-9,
RX J0440.9+4431,70.24720739300419,44.53034418647852,3.3072185599141654E-9,,B0.2Ve,2005A&A...440.1079R,Be,,,,,17.5,,1996MNRAS.280L..31P,150.0,,2013A&A...553A.103F,,,,,,,202.5,0.5,1999MNRAS.306..100R,,,,2444.0,-77.0,60.0,Y,7.4148149490356445,1.0,,Y,Gaia DR3 252878401557369088,,,,,,,,,,,,,,,,,,,,,RX J0440.9+4431,70.247,44.53,0.009166666865348816,,,,,,,1WGA J0440.9+4431,70.2496,44.5314,0.003611111111111111,,1RXS  J044100.3+443137,70.25125,44.52708,0.0044444444444444444,,,,,,,,,,,,2SXPS J044059.2+443149,70.24676,44.53034,9.722222222222222E-4,,4XMM J044059.1+443149,70.246651,44.530435,5.278097222222222E-4,,,,,,,2MASS J04405932+4431492,70.24719,44.530342,1.6666666294137637E-5,,252878401557369088,70.24720739300419,44.53034418647852,3.3072185599141654E-9,
EXO 051910+3737.7,80.64680481184236,37.6759929364201,7.05496511525578E-9,,B0III-IVe,1990A&A...231..354P,Be,,,,,17.5,,1996MNRAS.280L..31P,,,,,,,,,,,,,-20.5,4.4,2006AstL...32..759G,1317.0,-52.0,55.0,,,,,,Gaia DR3 184497471323752064,,,,,,1H0521+373,81.1503,37.3749,0.2723363761718749,,4U 0515+38,80.47583333333333,38.500277777777775,0.21260145793846053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS J05223522+3740336,80.646768,37.676014,1.9444444527228672E-5,,184497471323752064,80.64680481184236,37.6759929364201,7.05496511525578E-9,
